Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",8202516,9/22/2025,9/22/2025,Sep-25,Bill,Development : Regulatory : Regulatory Procore,30792.16,30792.16,Paid In Full,"DM Envi studies, equator principles, water samples - 7/26/2025-8/29/2025",9/26/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",157369,9/24/2025,9/24/2025,Sep-25,Bill,Development : Engineering : Engineering Procore,40860,40860,Paid In Full,"DM Preliminary Power Design, Electrical Master Plan for August - August 2025",11/14/2025
"Nexus Hubbard Power, LLC",Pastore Houldsworth & Co LLC,2025 - 2187,9/25/2025,10/25/2025,Sep-25,Bill,Development : Consulting : Consulting Gen,11366.76,11366.76,Paid In Full,DM September 2025 consulting services - 9/1-9/22 2025,2/26/2026
"Nexus Apex Holdings, LLC",CI Mission Critical LLC,500.60.25152.000-1.2,9/25/2025,10/10/2025,Sep-25,Bill,Development : Engineering : Engineering Gen,13825,13825,Paid In Full,"DM Detailed Design - Architectual, MEP Master Planning - August 2025",10/15/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1031,9/30/2025,10/30/2025,Sep-25,Bill,Infrastructure : Legal - Infra,23962.5,23962.5,Paid In Full,DM Company Formation & LPA matters only small amount is company formation - September 2025,10/22/2025
"Nexus Data Centers, LLC",PwC US Tax LLP,208A026294,9/30/2025,10/30/2025,Sep-25,Bill,Corporate : Accounting,51494,51494,Paid In Full,"DM Services through July 31, 2025 (pursuant to 6/5 EL) - June / July 2025",10/22/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-693,9/30/2025,10/15/2025,Sep-25,Bill,Corporate : HQ / Office,11875.26,11875.26,Paid In Full,DM Nov rent; September services,10/17/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF 6818 8.27,9/30/2025,9/30/2025,Sep-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,9/30/2025
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-405,10/1/2025,10/1/2025,Oct-25,Bill,Infrastructure : Acquisition costs - Infra,1807.78,1807.78,Paid In Full,DM Boundary survey & doc fee - Coffee 1&2 parcels,10/2/2025
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3373,10/1/2025,10/1/2025,Oct-25,Bill,Infrastructure : Acquisition costs - Infra,13000,13000,Paid In Full,DM Real estate support - September 2025,10/2/2025
"Nexus Data Centers, LLC","Braintek, LLC",44819,10/1/2025,10/16/2025,Oct-25,Bill,Corporate : IT : Services / License,2983.82,2983.82,Paid In Full,DM October - Monthly Maintenance - October 2025,10/7/2025
"Nexus Data Centers, LLC","AMP DATA CENTER GROUP, LLC",50004,10/1/2025,10/15/2025,Oct-25,Bill,Corporate : Business development,20000,20000,Paid In Full,DM Sales/Leasing Advisory - October 2025,10/6/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS45931,10/1/2025,10/16/2025,Oct-25,Bill,Corporate : Marketing / Branding,23000,23000,Paid In Full,DM Ad - Installment payment,10/7/2025
"Nexus Hubbard Power, LLC",Everllence USA INC,N/A,10/1/2025,10/16/2025,Oct-25,Bill,Development : Asset Procurement : Asset Procurement Procore,19953015,19953015,Paid In Full,DM See contract - 20% payment on MAN 13 engines less reservation fee ($15.6M),10/1/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF 6818 8.20,10/1/2025,10/1/2025,Oct-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,9/30/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020035174,10/7/2025,10/7/2025,Oct-25,Bill,Corporate : Legal,495647.42,495647.42,Paid In Full,DM Legal Expenses for September 2025 - September 2025,10/15/2025
